Name NStars Mean_size FWHM FOCUS Median_E STD_E Median_E1 Median_E2 Median_W STD_W "Model E1" "Model E2" "Model W"
iabf02jwq_single_sci.fits 1084 2.6323 4.7545 -2.2908 0.020987577392861098 0.011890629496903544 0.013185392894881574 -0.0027394866668502826 2.866994652687392 0.11146282469668728 0.012106633461860772 -0.0021989914862896223 2.8522475478999247
iabf02jyq_single_sci.fits 1073 2.6283 4.7614 -2.4736 0.020699376225046803 0.012001885150584427 0.01252799205574859 -0.0030228956758391475 2.864900454179141 0.10118847480418611 0.01200024853956306 -0.0021885114575122475 2.8530661556503953
iabf03hpq_single_sci.fits 1059 2.6353 4.743 -1.5075 0.020599672122012528 0.011954780405285331 0.014804415523119252 -0.0023203904987601645 2.8704100052691217 0.08852848136470086 0.012592254316068804 -0.001676319427401897 2.8541719055934114
iabf03hrq_single_sci.fits 1084 2.6302 4.727 -1.7977 0.020322859789813588 0.01168852292017676 0.012941759099100676 -0.0024243231173019138 2.867779160089982 0.10121907785872356 0.011305689746363092 -0.0015556283444558916 2.8481423365191967
iabf03icq_single_sci.fits 1046 2.6351 4.7501 -1.7435 0.019850056482753235 0.011756327706273816 0.013283754558553101 -0.0021100536698031784 2.8661071936887588 0.08674764651547617 0.011211010863941464 -0.0019374593975120865 2.8515046136557887
iabf03ijq_single_sci.fits 1025 2.6378 4.7204 -1.2976 0.019543058961121216 0.011687722693827587 0.012110593659937953 -0.0016537907194257104 2.8632774611260654 0.08503853739871267 0.009590965488137915 -0.0024243214123180826 2.8561432869552026
iabf03ilq_single_sci.fits 1036 2.6398 4.735 -1.2976 0.019625608751834354 0.01164585028800619 0.011679913126198305 -0.0017645950846228433 2.869396114928959 0.08401541615271485 0.010282128879825008 -0.0012039374764252746 2.8720263938061983
iabi01v2q_single_sci.fits 1136 2.626 4.6916 0.6885 0.022031041699153976 0.011417436252061127 0.014007715080093077 -0.005444284873531679 2.863200703354182 0.10748578022501949 0.013503885139940268 -0.005330474308518095 2.850425242855165
iabi01v4q_single_sci.fits 1160 2.6294 4.7565 1.2392 0.02017626334514653 0.011399949179014476 0.013164758596328888 -0.005319133878079991 2.865529151892651 0.09882295424504173 0.012113706421847358 -0.00521753921552217 2.853802578170123
iabi01v6q_single_sci.fits 1191 2.6364 4.7907 1.4206 0.02128766162157773 0.011359752374941006 0.01414944939571342 -0.006390730298284973 2.87050484816601 0.10804092702990355 0.01249255304520619 -0.005453009526283801 2.853448747265266
iabi01v8q_single_sci.fits 1085 2.6391 4.7363 2.312 0.023448124119502717 0.011619859076421468 0.014916134681217205 -0.008196300259074241 2.877302415106795 0.09863898535677423 0.012396473829310514 -0.007249757259993287 2.8609713212694623
iabi01vaq_single_sci.fits 1067 2.6401 4.6912 1.1098 0.022128058579484088 0.01175123363770463 0.012649605148329171 -0.00812957361939551 2.878487445054027 0.11351884010571682 0.01168890896806088 -0.007682444800133301 2.8566753723582092
iabi01vcq_single_sci.fits 1066 2.6357 4.74 0.6855 0.02146041497890512 0.011181741011435481 0.013200530948788227 -0.007068724766562777 2.8727488212382744 0.11481987918974916 0.011357128738072486 -0.00656736979973879 2.8598589082632158
iabi01veq_single_sci.fits 1071 2.6293 4.726 0.3217 0.02116522483807012 0.01151466326611785 0.012415224764541504 -0.005850579601780437 2.865909162788796 0.10776674833221601 0.01110225173145364 -0.00521443002763898 2.855799793019088
iabi01vgq_single_sci.fits 1047 2.6296 4.7116 -0.1465 0.020926639228595955 0.011812614499317278 0.013377177900734111 -0.005801114230553597 2.8664619854756332 0.10348502083342137 0.012552709122906172 -0.005371809437698156 2.8589025857153354
iabi01viq_single_sci.fits 966 2.6342 4.7743 0.423 0.021319227712334986 0.011269732279805445 0.01403913117512232 -0.005382846354546106 2.867450366074637 0.0830724359502534 0.012739725694209288 -0.005126505876900557 2.8612269410371276
iabi01vkq_single_sci.fits 971 2.6362 4.7637 0.3852 0.02156222600207286 0.011962187711242698 0.014824967787984374 -0.0049684275543902465 2.867230145733224 0.08982501289722489 0.013214103337307576 -0.004417487119328521 2.856473250786463
iabi01vmq_single_sci.fits 1032 2.6369 4.7499 0.5633 0.021771574718838248 0.011714143668775634 0.013892083034014329 -0.0054617096154978735 2.867346979505769 0.08940796364344161 0.012884708832774785 -0.005067320049618799 2.8614244255959465
